restaurant_name,city,raw_category,section,menu_name,price,source_platform,source_url,search_keyword,extract_method,scraped_at
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Paket Nasi Karee Ayam Nasi Dengan Karee,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Garang Asem + Nasi,25000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Frozen Risoles Isi Pasta Kentang 1 Pack Risoles Isi Pasta Kentang Isi 3 Pcs,14000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Keripik Bawang Bungkus Kecil,5000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Keripik Bawang Krenyesz Dapur Larisz Momih Keripik Bawang Yang Punya Rasa Beda Dari Yg Biasa,15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Sambosa Dengan Isi daging sapi Yg Endessszzz Krendesszzzz,10000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Loukumades Original Donat Loukumades Dengan Taburan Madu Dan Kacang,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Loukumades Icing Sugar Loukumades Dengan Taburan Gula Putih,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Fettuccine,25000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Spaghetti Bolognese,25000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
